Age,Birth_Place,College,Current_Team,Experience,Position,Last_Name,First_Name
58,"Toledo , OH",Toledo,,2 Seasons,,Kennedy, Mike
39,"St.Johns , AZ",Arizona,,4 Seasons,,Bell, Marcus
75,"Jamestown , ND",Long Beach State,,2 Seasons,,Degen, Dick
51,"Syracuse , NY",Pittsburgh,,1 Season,,Owens, Billy
30,"Portland , OR",Nebraska,Miami Dolphins,8th season,DT,Suh, Ndamukong
55,"San Diego , CA",St. Mary's (CA),,3 Seasons,,Hardy, Andre
,"Houston , TX",Texas A&M - Kingsville,,6 Seasons,,Bailey, Johnny
54,"Key West , FL",Miami (Fla.),,1 Season,,Neal, Speedy
,"Double Springs , AL",Birmingham-Southern,,1 Season,,Davis, Erm
,"Osceola , AR",Miami (Fla.),,11 Seasons,,Kennedy, Cortez
55,"Ann Arbor , MI",Maryland,,4 Seasons,,Atkinson, Jess
61,"Cumberland , MD",Maryland,,1 Season,,Manges, Mark
66,"St. Louis , MO",St. Louis,,18 Seasons,,Leahy, Pat
58,"Reno , NV",Nevada,,12 Seasons,,Sanders, Eric
23,"Lansing , MI",Ferris State,New Orleans Saints,2nd season,WR,Lampman, Jake
26,,Arkansas-Pine Bluff,,1 Season,,Ferguson, Isiah
23,,Utah,Baltimore Ravens,Rookie,WR,Patrick, Tim
54,"Los Angeles , CA",Stanford,,6 Seasons,,Harry, Emile
51,"San Diego , CA",Arizona State,,14 Seasons,,Allen, Eric
,"Thief River Falls , MN",Luther,,1 Season,,Hansen, Cliff
25,"Detroit , MI",Michigan State,Tampa Bay Buccaneers,5th season,DE,Gholston, William
,"Tyler , TX",Baylor,,1 Season,,Reynolds, John
34,,Texas Tech,,0 Season,,Saldi, John
68,"Pittsburgh , PA",Maryland,,1 Season,,Kecman, Dan
22,"Hoover , AL",Southern Mississippi,San Francisco 49ers,Rookie,QB,Mullens, Nick
36,"Colerain , OH",Michigan,,7 Seasons,,Askew, B.J.
,"Campbell , OH",Indiana,,1 Season,,Tofil, Joe
34,"New Orleans , LA",Grambling State,,1 Season,,Eugene, Bruce
69,"Cincinnati , OH",Ohio State,,9 Seasons,,Foley, Dave
39,"Marshfield , WI",Wisconsin,,11 Seasons,,Tauscher, Mark
,Russia,N.Y.U.,,1 Season,,Wexler, Bill
,"Fall River , MA",Boston College,,4 Seasons,,Urban, Luke
64,"Mantua , OH",Kent State,,11 Seasons,,Lambert, Jack
,"Phoenix , AZ",Arizona State,,1 Season,,Thompson, Tyrice
35,"Vacherie , LA",LSU,,9 Seasons,,Webster, Corey
40,,Duke,,1 Season,,Rasheed, Dawud
32,,Missouri,,0 Season,,Jackson, Xzavie
27,,Old Dominion,,1 Season,,Cameron, Ronnie
45,"Bartow , FL",Florida State,,2 Seasons,,Baker, Shannon
42,"Wynnewood , OK",Oklahoma,,6 Seasons,,Allen, James
49,"Palo Alto , CA",Oregon,,2 Seasons,,Hargain, Tony
29,"Denver , CO",Colorado State,,1 Season,,Pauga, Zac
22,,Texas-San Antonio,Cincinnati Bengals,Rookie,RB,Williams, Jarveon
41,,East Tennessee State,,1 Season,,Edison, Pedro
33,"Lancaster , OH",Ohio State,,7 Seasons,,Carpenter, Bobby
59,"Wichita , KS",Colorado State,,5 Seasons,,Bell, Mark
27,,Alabama,,1 Season,,Watkins, Alex
72,"Clarksdale , MS",Jackson State,,10 Seasons,,Outlaw, John
22,"Pewaukee , WI",Wisconsin,Pittsburgh Steelers,Rookie,LB,Watt, T.J.
27,"Oklahoma City , OK",Iowa State,,1 Season,,Reeves, Jeremy
33,,Brown,,0 Season,,Hartigan, Nick
52,"Everett , WA",Washington,,5 Seasons,,Fenney, Rick
36,"Erie , PA",Iowa,,8 Seasons,,Sanders, Bob
31,,Stanford,,1 Season,,Kimble, Anthony
34,,Middle Tennessee State,,0 Season,,Raymond, Keon
21,"Salisbury , NC",Western Michigan,Pittsburgh Steelers,Rookie,LB,Adams, Keion
23,"Atlanta , GA",Georgia Southern,Kansas City Chiefs,Rookie,LB,Eligwe, Ukeme
29,"Garden Grove , CA",Utah,Detroit Lions,6th season,RB,Asiata, Matt
43,"Westerville , OH",Penn State,,8 Seasons,,Carter, Ki-Jana
,"Baltimore , MD",Tulane,,1 Season,,Schneider, Leroy
,"Wallace , MI",Miami (Fla.),,2 Seasons,,Noppenberg, John
41,"New Orleans , LA",Colorado,,1 Season,,Thomas, Melvin
33,"Salt Lake City , UT",Oregon,Seattle Seahawks,8th season,FB,Tukuafu, Will
42,"Melfa , VA",Virginia Tech,,1 Season,,Washington, T.J.
34,"St. Paul , MN",Nebraska-Omaha,,0 Season,,Pinderhughes, Brandon
26,"Yucaipa , CA",San Diego State,,1 Season,,Embernate, Nik
43,"Houston , TX",Stephen F. Austin St.,,6 Seasons,,Quinn, Mike
70,"Akron , OH",Louisville,,3 Seasons,,Neidert, John
72,"Everett , MA",Harvard,,2 Seasons,,Leo, Bobby
68,"Miami , FL",Clemson,,11 Seasons,,Waters, Charlie
50,"Warren , OH",Michigan,,1 Season,,Arnold, David
45,"Phoenix , AZ",Washington,,9 Seasons,,Garcia, Frank
49,"Salt Lake City , UT",UCLA,,13 Seasons,,Lake, Carnell
,"Chicago , IL",Washington & Lee,,1 Season,,Barrett, Johnny
28,"Denver , CO",Oregon,,4 Seasons,,Davis, Drew
36,"Cincinnati , OH",Northwestern,,4 Seasons,,King, Austin
45,"Whippany , NJ",Boston College,,2 Seasons,,Saxton, Brian
23,"Puyallup , WA",USC,Indianapolis Colts,Rookie,OT,Banner, Zach
31,"Los Angeles , CA",San Diego State,,7 Seasons,,Applewhite, Antwan
45,"Oakland , CA",California,,1 Season,,Barr, Dave
42,"Drewryville , VA",Virginia,,6 Seasons,,Ellsworth, Percy
29,"Bridgeport , CT",Connecticut,Buffalo Bills,6th season,WR,Easley, Marcus
,Blackpool England,No College,,1 Season,,Cardwell, John
,"Randolph Twp., Tippecanoe Co. , IN",Washington,,2 Seasons,,Newton, Chuck
81,"Cleveland , OH",Baldwin-Wallace,,1 Season,,Barrett, Bob
53,"Shelby , MS",Arkansas State,,3 Seasons,,Adams, Michael
,"Evanston , IL",No College,,6 Seasons,,Falcon, Guil
,"Joliet , IL",Chicago,,3 Seasons,,Hartong, George
41,"Tuskegee , AL",Troy,,1 Season,,Fields, Aaron
21,"Bellevue , WA",Washington,Arizona Cardinals,Rookie,SAF,Baker, Budda
83,"Los Angeles , CA",USC,,10 Seasons,,Arnett, Jon
,,Akron,Houston Texans,Rookie,DB,Jones, Bryce
22,,Georgia State,Washington Redskins,Rookie,WR,Davis, Robert
54,"Sacramento , CA",Idaho State,,2 Seasons,,Otto, Bob
44,"Locust , NJ",Nebraska,,6 Seasons,,Peter, Christian
21,,Ohio U.,Los Angeles Rams,Rookie,DT,Sayles, Casey
61,"Okmulgee , OK",Oklahoma,,8 Seasons,,Baldischwiler, Karl
38,"Cleveland , OH",Colorado,,3 Seasons,,Kelly, Ben
,"Richwood , MN",Carlisle,,1 Season,,Barrel, Napoleon
57,"New Hebron , MS",Mississippi College,,5 Seasons,,Everett, Major
40,,Arizona State,,1 Season,,Jackson, Courtney
35,"Mobile , AL",Alabama,,7 Seasons,,Odom, Antwan
31,,San Jose State,,0 Season,,Vedder, Christopher
59,"Norfolk , VA",Norfolk State,,1 Season,,Harrington, LaRue
47,"Florissant , MO",Michigan,,4 Seasons,,Vaughn, Jon
,"Cleveland , OH",Denver,,1 Season,,Fena, Tom
26,,Houston,,1 Season,,Ashworth, Jacolby
63,"Greenville , TX",Nevada-Las Vegas,,6 Seasons,,Thomas, Mike
32,"Rexburg , ID",Oregon,,5 Seasons,,Bair, Brandon
61,Berlin Germany,Oklahoma,,6 Seasons,,von Schamann, Uwe
,"Brawley , AR",USC,,3 Seasons,,Gentry, Byron
33,"Muscle Shoals , AL",Tennessee,,7 Seasons,,Allen, Jason
36,"Tallahassee , FL",Florida,,6 Seasons,,Jacobs, Taylor
24,Nigeria,USC,Philadelphia Eagles,3rd season,WR,Agholor, Nelson
59,London England,Cal State-Fullerton,,2 Seasons,,Abbott, Vince
54,"New York , NY",Carthage,,1 Season,,Walker, Adam
73,"Cincinnati , OH",Michigan State,,10 Seasons,,Gordon, Dick
,"Cleveland , OH",Purdue,,2 Seasons,,Voytek, Ed
63,"Biloxi , MS",Mississippi College,,8 Seasons,,Evans, Larry
23,"Southfield , MI",Western Michigan,Minnesota Vikings,2nd season,OG,Beavers, Willie
74,"Higginsville , MO",Missouri,,10 Seasons,,Seals, George
42,"Harrisburg , PA",Stanford,,7 Seasons,,Ritchie, Jon
,,Trinity (Tex.),,1 Season,,Nairan, Ralph
27,,Mississippi State,,1 Season,,Ferguson, Sean
74,"Wichita , KS",Kansas,,7 Seasons,,Sayers, Gale
44,"Pittsburgh , PA",Notre Dame,,4 Seasons,,Zellars, Ray
52,"Greensboro , NC",North Carolina State,,10 Seasons,,Jeffires, Haywood
44,,Baker,,1 Season,,Jacobs, John
47,"Bellflower , CA",Washington,,6 Seasons,,Hall, Dana
35,"Newark , OH",Texas A&M,Detroit Lions,14th season,LS,Muhlbach, Don
34,,Oregon,,1 Season,,Phinisee, Justin
31,,Wisconsin,,1 Season,,Rentmeester, Bill
28,,Northern Illinois,,3 Seasons,,Schiller, Pat
65,"Baton Rouge , LA",Illinois State,,1 Season,,Washington, Joe
57,"Fredricksburg , TX",Texas Tech,,6 Seasons,,Randle, Tate
69,"Panama City , FL",Auburn,,1 Season,,Cheek, Richard
,"San Francisco , CA",Oregon State,,1 Season,,Ash, Juddy
,"Westerly , RI",San Francisco,,3 Seasons,,Panciera, Don
28,"Houston , TX",Southern Methodist,Dallas Cowboys,6th season,WR,Beasley, Cole
40,"Baxley , GA",Florida A&M,,6 Seasons,,Nails, Jamie
29,"Bridgeport , TX",Texas Christian,Carolina Panthers,7th season,FS,Jones, Colin
58,"Knoxville , TN",Tennessee,,14 Seasons,,Irwin, Tim
,"Chicago , IL",Georgetown,,1 Season,,Golsen, Tom
57,"Jacksonville , FL",Bethune-Cookman,,4 Seasons,,Reese, Booker
36,"Philadelphia , PA",Purdue,,11 Seasons,,Phillips, Shaun
40,"Euclid , OH",Kent State,,3 Seasons,,Zahursky, Steve
33,"Oakland , CA",North Carolina,,8 Seasons,,Sensabaugh, Gerald
52,"Grand Forks , ND",Bowling Green State,,1 Season,,Nelson, Mark
,"Lincoln , IL",Illinois,,1 Season,,Reichle, Dick
,"Chicago , IL",No College,,1 Season,,Fishman, Alec
50,"Galveston , TX",Houston,,10 Seasons,,Anders, Kimble
38,"La Mesa , CA",Virginia Tech,,5 Seasons,,McCadam, Kevin
63,"Kirbyville , TX",Texas A&M,,3 Seasons,,Bean, Bubba
30,"Kaneohe , HI",Syracuse,,6 Seasons,,Fiammetta, Tony
31,"Baton Rouge , LA",LSU,San Francisco 49ers,10th season,NT,Dorsey, Glenn
29,Kingston Jamaica,Miami (Fla.),Los Angeles Chargers,7th season,OG,Franklin, Orlando
41,"Warrenton , NC",Tennessee,,2 Seasons,,Terry, Corey
22,"Erie , PA",Pittsburgh,Pittsburgh Steelers,Rookie,RB,Conner, James
52,"Louisville , KY",Louisville,,1 Season,,Jeffries, Curtis
26,"Augusta , GA",Georgia Tech,Miami Dolphins,3rd season,LB,Watts, Brandon
38,"Rockford , IL",Michigan State,,2 Seasons,,Sayler, Jace
70,"Lowell , MA",San Jose State,,2 Seasons,,Alexakos, Steve
38,"Greenville , OH",Purdue,,11 Seasons,,Light, Matt
23,"Durham , NC",Florida,Arizona Cardinals,3rd season,OT,Humphries, D.J.
,"Fort Smith , AR",Centenary,,1 Season,,Rebsamen, Paul
,,Michigan,,1 Season,,Pierce, Dick
62,"New Orleans , LA",Oklahoma,,2 Seasons,,Reese, Jerry
66,"Riverton , WY",Wyoming,,8 Seasons,,Bebout, Nick
47,"Joliet , IL",Colorado State,,1 Season,,Ivlow, John
39,"Midland , MI",Michigan,,12 Seasons,,Backus, Jeff
39,"Decatur , GA",South Carolina State,,1 Season,,Oglesby, Cedric
30,"Pittsburgh , PA",Penn State,,5 Seasons,,King, Justin
,"Bronx , NY",Hampton,,1 Season,,Reeberg, Lucien
26,,Utah State,,1 Season,,Whimpey, Kevin
32,"Ashley , MI",Nebraska,,3 Seasons,,Patrick, Chris
50,"New Orleans , LA",Northwestern State-Louisiana,,3 Seasons,,Lewis, Kevin
48,,USC,,2 Seasons,,O'Hara, Pat
38,,Northeastern,,1 Season,,Klemic, Dave
22,"New Lenox , IL",Illinois State,Cleveland Browns,Rookie,LB,Bello, B.J.
56,"De Land , FL",Middle Tennessee State,,2 Seasons,,Cherry, Bill
,"Fredericktown , PA",West Virginia,,11 Seasons,,Marconi, Joe
59,"San Antonio , TX",Colorado State,,5 Seasons,,Lee, Keith
,"Kingston , PA",Bucknell,,2 Seasons,,Halicki, Eddie
33,Liberia,Michigan State,,4 Seasons,,Caulcrick, Jehuu
46,"Toledo , OH",Ohio U.,,2 Seasons,,Carthen, Jason
,"Jonesboro , AR",Texas Christian,,1 Season,,McCarty, Mickey
57,"Pasadena , TX",Baylor,,3 Seasons,,Kirchner, Mark
,,Missouri,Los Angeles Chargers,Rookie,TE,Culkin, Sean
,"Chicago , IL",Michigan,,2 Seasons,,Keating, Bill
,"Portsmouth , OH",Ohio State,,1 Season,,Padan, Bob
32,"Santa Monica , CA",Virginia,Philadelphia Eagles,10th season,DE,Long, Chris
85,"Elizabeth , NJ",Richmond,,1 Season,,Christensen, Erik
22,"Vance , SC",Clemson,Los Angeles Chargers,Rookie,WR,Williams, Mike
54,"New Orleans , LA",Southern Mississippi,,9 Seasons,,Lipps, Louis
26,"Brunswick , GA",Mississippi State,Detroit Lions,5th season,CB,Slay, Darius
31,,Troy,,1 Season,,Pittman, Marcus
47,"Long Beach , CA",USC,,1 Season,,Webb, David
,"Millen , GA",Presbyterian,,4 Seasons,,Waters, Bob
37,"Wichita , KS",Kansas State,,4 Seasons,,Washington, Rashad
,"Lonoke , AR",Arkansas,,1 Season,,Cato, Daryl
26,"Fort Lauderdale , FL",Central Florida,Tampa Bay Buccaneers,6th season,DB,Robinson, Josh
73,"Greenwood , SC",Georgia,,3 Seasons,,Ridlehuber, Preston
28,,Cincinnati,,1 Season,,Webster, Aaron
34,"Brooklyn , NY",Syracuse,,1 Season,,LaCasse, Ryan
,"Thayer , KS",Emporia State,,6 Seasons,,Campbell, Glenn
28,,No College,Atlanta Falcons,Rookie,WR,Dable, Anthony
,"Columbus , OH",Notre Dame,,1 Season,,Eichenlaub, Ray
29,"Brea , CA",Boise State,,2 Seasons,,Gallarda, Tommy
23,,Notre Dame,Cincinnati Bengals,2nd season,WR,Brown, Chris
67,"Houston , TX",Texas,,1 Season,,Atessis, Bill
30,"Jackson , TN",Arkansas State,,1 Season,,Walker, Daylan
75,"Athens , GA",South Carolina,,6 Seasons,,Gambrell, Billy
31,"Mobile , AL",LSU,,4 Seasons,,Jackson, Chevis
52,"West Hempstead , NY",Iowa,,12 Seasons,,Early, Quinn
56,"Lynwood , CA",USC,,3 Seasons,,Thomas, Kelly
50,"Dallas , TX",New Mexico State,,3 Seasons,,Ford, Darryl
28,,Minnesota,,2 Seasons,,Lawrence, Simoni
,,Minnesota,,1 Season,,Johnson, Dick
44,"Omaha , NE",Nebraska,,2 Seasons,,Veland, Tony
66,"Aiken , SC",South Carolina State,,13 Seasons,,Chavous, Barney
27,"Atlanta , GA",Stanford,,2 Seasons,,Thomas, Chase
24,"Charlotte , NC",Notre Dame,Indianapolis Colts,2nd season,DB,Farley, Matthias
48,"Bay Port , MI",Wayne State (Mich.),,4 Seasons,,Beer, Tom
66,"Farmington , MN",North Dakota State,,14 Seasons,,Nelson, Steve
,"Brainerd , MN",Minnesota,,5 Seasons,,Jelacic, Jon
25,,Central Michigan,,1 Season,,Phillips, Andy
,"Turtle Mountain , ND",Carlisle,,1 Season,,Gardner, Birdie
23,"New Orleans , LA",Tulane,Denver Broncos,3rd season,CB,Doss, Lorenzo
28,"Temple , TX",Houston,,3 Seasons,,Edwards, Pat
,"Rhea's Mills , AR",Oregon,,4 Seasons,,Rhea, Floyd
27,"Dallas , TX",Texas A&M,San Francisco 49ers,5th season,DE,Jerod-Eddie, Tony
,"Montreal , Quebec",Syracuse,,3 Seasons,,Watt, Joe
38,"Pinesville , LA",Texas A&M,,2 Seasons,,Anthony, Cornelius
,"Chicago , IL",Purdue,,1 Season,,Ippolito, Tony
58,"San Diego , CA",Arizona State,,10 Seasons,,Malone, Mark
37,"Manchester , MI",Wisconsin,,2 Seasons,,Davis, Nick
38,"Waterford , PA",Pittsburgh,,1 Season,,English, R.J.
33,"Englewood , NJ",Nebraska,Buffalo Bills,11th season,OG,Incognito, Richie
29,"Orem , UT",Wisconsin,,2 Seasons,,Nagy, Bill
48,Montego Bay Jamaica,Texas,,2 Seasons,,Samuels, Chris
21,"Virginia Beach , VA",Virginia Military Inst.,Minnesota Vikings,Rookie,TE,Hodges, Bucky
28,"Huntsville , AL",South Carolina,Denver Broncos,8th season,FS,Stewart, Darian
,"Roseville , OH",Ohio State,,1 Season,,Wetzel, Buzz
21,,Arkansas State,Oakland Raiders,Rookie,LB,Woodson-Luster, Xavier
63,"Carmel , FL",California,,6 Seasons,,Newton, Tom
27,,Boston College,,1 Season,,Patchan, Matt
,"Carthage , TX",Stephen F. Austin St.,,4 Seasons,,Marshall, Bud
,"Albany , GA",Louisville,,10 Seasons,,Johnson, Eddie
66,"Brooklyn , NY",Massachusetts,,6 Seasons,,Schubert, Steve
,"Blackstone , VA",William & Mary,,2 Seasons,,Hardy, Isham
26,,Syracuse,,2 Seasons,,Anderson, Ri'Shard
53,"Johnson City , NY",Syracuse,,1 Season,,Kimmel, Jerry
23,"Sacramento , CA",Oregon,San Francisco 49ers,3rd season,DE,Armstead, Arik
55,"Merced , CA",Colorado State,,2 Seasons,,Nugent, Terry
34,"Houston , TX",Wisconsin,,2 Seasons,,Welsh, Jonathan
32,,Clemson,,1 Season,,Jackson, Rashaad
70,"Tuscaloosa , AL",Stanford,,10 Seasons,,Washington, Gene
54,,Kentucky,,1 Season,,Ransdell, Bill
86,"Ridley Park , PA",Tennessee-Chattanooga,,1 Season,,Oniskey, Dick
33,,Massachusetts,,0 Season,,James, Shannon
22,"Houston , TX",Georgia,New York Jets,2nd season,OLB,Jenkins, Jordan
26,"St. Louis , MO",Missouri,New York Jets,5th season,DE,Richardson, Sheldon
,"Denver , CO",Santa Clara,,1 Season,,Vinnola, Paul
78,"Wilson , NC",East Carolina,,8 Seasons,,Bass, Glenn
49,"Baxley , GA",Florida State,,7 Seasons,,Carter, Dexter
28,"Mesquite , TX",Tulsa,,3 Seasons,,Kinne, G.J.
33,"Pinehurst , NC",Maryland,,4 Seasons,,Kershaw, William
57,"Winfield , IL",Illinois,,1 Season,,Norman, Tim
50,"Youngstown , OH",Louisville,,5 Seasons,,Flores, Mike
52,"Sturgis , MS",Mississippi State,,8 Seasons,,Jackson, Kirby
72,"San Francisco , CA",Utah State,,1 Season,,King, Henry
32,"San Francisco , CA",Nebraska,,6 Seasons,,Nicks, Carl
32,"Butler , PA",Penn State,Jacksonville Jaguars,11th season,MLB,Posluszny, Paul
68,"Cleburne , TX",Texas,,2 Seasons,,Palmer, Scott
25,,William Penn,,1 Season,,DiMarco, Nick
52,"Detroit , MI",Toledo,,1 Season,,Varajon, Mike
,"Racine , WI",No College,,3 Seasons,,Foster, Bob
75,"Louisville , KY",Louisville,,10 Seasons,,Calland, Lee
49,"Downey , CA",California,,2 Seasons,,Taylor, Troy
28,"San Francisco , CA",North Texas,Oakland Raiders,5th season,FB,Olawale, Jamize
99,"Akron , OH",Michigan State,,1 Season,,Kinek, Mike
29,"Chesterfield , MO",Missouri,Kansas City Chiefs,9th season,WR,Maclin, Jeremy
64,"Elberton , GA",Tennessee,,4 Seasons,,Adams, Brent
23,"Cincinnati , OH",Heidelberg,Tampa Bay Buccaneers,2nd season,WR,Dye, Donteea
,"Long Beach , CA",Loyola Marymount,,1 Season,,Cheatham, Ernie
,"Albany , GA",Georgia,,1 Season,,Pennington, Tom
63,"Leesburg , FL",Florida State,,1 Season,,Johnson, Greg
71,"Youngstown , OH",Bowling Green State,,8 Seasons,,Rivers, Jamie
28,"Paradise , CA",Oregon,,5 Seasons,,Maehl, Jeff
26,,North Carolina State,,1 Season,,Watson, Asa
,"Pittsburgh , PA",No College,,2 Seasons,,Kelsch, Mose
25,"Summerville , GA",Louisville,Miami Dolphins,3rd season,RB,Perry, Senorise
,"Wilkes Barre , PA",Pittsburgh,,3 Seasons,,Weinstock, Izzy
,"Dundee , MS",Mississippi State,,3 Seasons,,Garrett, Dub
,"Pana , IL",Iowa,,7 Seasons,,Klein, Dick
41,"Memphis , TN",Colorado,,1 Season,,Barnes, Marlon
,"Washington , PA",Texas-El Paso,,7 Seasons,,Daney, George
62,"Harvey , IL",California,,5 Seasons,,Albrecht, Ted
,"Parma , OH",John Carroll,,11 Seasons,,Taseff, Carl
,,Southern Illinois,Tampa Bay Buccaneers,Rookie,DE,Barnett, Deondre
32,"College Station , TX",Brigham Young,,4 Seasons,,Nixon, David
,"Perryton , TX",Texas Christian,,1 Season,,Flowers, Keith
31,"Dallas , TX",Louisiana-Lafayette,,7 Seasons,,Adams, Michael
81,"Harrisburg , PA",George Washington,,1 Season,,Liddick, Dave
25,Jamaica,Duke,Detroit Lions,3rd season,OG,Tomlinson, Laken
,"Chicago , IL",Dartmouth,,1 Season,,MacLeod, Bob
38,"Sylacauga , AL",Michigan,,3 Seasons,,Knight, Marcus
,"Thrall , TX",Texas A&M,,8 Seasons,,Todd, Dick
,"Raritan , NJ",Princeton,,2 Seasons,,Perantoni, Frank
23,,Ohio U.,Jacksonville Jaguars,Rookie,LB,Brown, Blair
23,"Danville , IL",Akron,Kansas City Chiefs,3rd season,ILB,March-Lillard, Justin
,"South Boston , MA",Georgetown,,1 Season,,Barron, Jim
,"Blytheville , AR",Alabama,,1 Season,,Eberdt, Jess
92,"Canute , OK",California-Santa Barbara,,3 Seasons,,Cathcart, Sam
53,"Dallas , TX",Baylor,,8 Seasons,,Carlson, Cody
31,,Texas Southern,,1 Season,,Davis, Daniel
64,"Urbana , OH",Bowling Green State,,1 Season,,Wallace, Roger
23,"Portland , OR",Oregon,New York Jets,1st season,OG,Balducci, Alex
50,"Paris , TX",Texas A&M,,8 Seasons,,Wallace, Aaron
69,"Georgetown , SC",Texas Southern,,9 Seasons,,Allen, Nate
80,"Arbuckle , CA",Utah State,,3 Seasons,,Mayberry, Doug
40,"Warner Robins , GA",North Alabama,,5 Seasons,,Harris, Corey
79,,San Jose State,,2 Seasons,,Norton, Ray
,"Spangler , PA",St. Francis (PA),,1 Season,,Magulick, George
33,"Philadelphia , PA",Bloomsburg,Green Bay Packers,12th season,G,Evans, Jahri
,"Abington , PA",Temple,,1 Season,,Getchell, Gorham
52,"Minneapolis , MN",North Dakota,,1 Season,,Martin, Tracy
,"Coon Rapids , IA",Iowa State,,1 Season,,Vanderloo, Viv
34,"Little Rock , AR",Memphis,Pittsburgh Steelers,12th season,RB,Williams, DeAngelo
40,"Auburn , NE",Nebraska,,2 Seasons,,Kelsay, Chad
36,,Morgan State,,1 Season,,Johnson, Cliff
,"Milwaukee , WI",Wisconsin,,1 Season,,Eckl, Bob
44,"Halifax , VA",Virginia,,8 Seasons,,Davis, Tyrone
,"Green Bay , WI",Marquette,,2 Seasons,,Radick, Ken
28,"Leominster , MA",Nebraska,Chicago Bears,7th season,DB,Amukamara, Prince
47,"White Plains , NY",New Hampshire,,8 Seasons,,Gordon, Dwayne
71,"Dallas , TX",Bowling Green State,,10 Seasons,,Weger, Mike
55,"Berea , OH",Purdue,,3 Seasons,,Scott, Chris
33,"St. Louis , MO",Lindenwood,,5 Seasons,,Schaefering, Brian
47,"Gulfport , MS",Southern Mississippi,,20 Seasons,,Favre, Brett
24,"Anaheim , CA",Arizona State,Buffalo Bills,3rd season,LB,Bradford, Carl
40,"Detroit , MI",Illinois State,,1 Season,,Fitzpatrick, Larry
34,"Atlanta , GA",Georgia Tech,,8 Seasons,,Economos, Andrew
51,"Gainesville , FL",Florida,,6 Seasons,,Nattiel, Ricky
27,"Worthington , IA",Iowa,Philadelphia Eagles,5th season,G,Tobin, Matt
66,"Wilmington , DE",Villanova,,3 Seasons,,Reilly, Kevin
52,"Chicago , IL",Northern Illinois,,6 Seasons,,Vaughn, Clarence
52,"Lexington , NC",Appalachian State,,1 Season,,Dawkins, Tommy
55,"Beaver Falls , PA",Miami (Fla.),,2 Seasons,,Dennison, Glenn
,"Palatka , FL",LSU,,11 Seasons,,Leggett, Earl
60,"Columbus , OH",Colorado State,,1 Season,,Nichols, Mark
,"Baltimore , MD",Bucknell,,2 Seasons,,Ostendarp, Jim
27,"Tulsa , OK",Kansas State,,1 Season,,Thompson, Tramaine
28,"Orlando , FL",Wake Forest,Dallas Cowboys,6th season,OLB,Wilber, Kyle
45,"Cherokee , IA",South Dakota State,,12 Seasons,,Timmerman, Adam
72,"Steubenville , OH",Nebraska,,2 Seasons,,Jeter, Tony
48,"Washington , DC",Shippensburg,,12 Seasons,,Davis, Rob
25,"Tulsa , OK",Harvard,Seattle Seahawks,1st season,LS,Ott, Tyler
,"Unionville , PA",Penn State,,8 Seasons,,Saul, Bill
44,,Stanford,,1 Season,,Dittman, Seth
,"New Haven , CT",No College,,2 Seasons,,Petrilas, Bill
65,"Marin , TX",Howard Payne,,1 Season,,Kirk, Ernest
49,"Dallas , TX",Oklahoma State,,4 Seasons,,King, Joe
,"Braddock , PA",Washington & Jefferson,,2 Seasons,,Norman, Will
23,"Teaneck , NJ",Virginia Tech,Baltimore Ravens,Rookie,TE,Malleck, Ryan
55,"Great Falls , MT",Montana State,,1 Season,,Kalafat, Jim
24,"New Orleans , LA",Samford,Baltimore Ravens,2nd season,DE,Pierce, Michael
,"Anita , IA",Minnesota,,1 Season,,Hansen, Hal
23,,Vanderbilt,New England Patriots,Rookie,DT,Butler, Adam
25,,Florida,New York Jets,4th season,C,Harrison, Jonotthan
66,"Scottsdale , AZ",Colorado,,1 Season,,Johnson, Ken
74,"Amarillo , TX",Texas Tech,,1 Season,,Carrell, John
,"Los Angeles , CA",Colorado State,,1 Season,,Maeda, Chet
62,"Greeneville , TN",Tulsa,,4 Seasons,,Webster, Cornell
57,"Minneapolis , MN",Minnesota,,2 Seasons,,Kersten, Wally
83,"Kansas City , MO",Kansas State,,2 Seasons,,Taylor, Corky
30,"Naples , FL",Miami (Fla.),,5 Seasons,,Adkins, Spencer
49,"Camden , NJ",Miami (Fla.),,3 Seasons,,Newbill, Richard
45,"South Kennewick , WA",Washington State,,1 Season,,Childs, Ron
63,"Sandpoint , ID",Brigham Young,,1 Season,,Baker, Wayne
25,,Toledo,,2 Seasons,,Page, Eric
88,"Farr , CO",Loyola Marymount,,4 Seasons,,Giancanelli, Hal
73,"Dumas , TX",Oklahoma,,3 Seasons,,McAdams, Carl
25,"Central , SC",Clemson,Houston Texans,5th season,WR,Hopkins, DeAndre
24,,Mississippi,Indianapolis Colts,1st season,OT,Cooper, Fahn
52,"San Francisco , CA",San Diego State,,1 Season,,Aronson, Doug
100,"Grand Saline , TX",George Washington,,1 Season,,Keahey, Duce
35,"Indianapolis , IN",Indiana,,3 Seasons,,Halterman, Aaron
,"Dallas , TX",Southern Methodist,,2 Seasons,,Maley, Howie
,"Chicago , IL",Detroit Mercy,,2 Seasons,,O'Neill, Bill
22,,South Carolina,Atlanta Falcons,Rookie,LB,English, Darius
,,Cincinnati,Detroit Lions,Rookie,RB,Green, Tion
61,"Bay City , TX",Texas A&M,,8 Seasons,,Dennard, Mark
,"Jasper , AL",Jacksonville State,,10 Seasons,,Owens, Terry
