player_id,total_value
651,4704282
652,1030000
653,3907152
654,3745600
655,18000000
656,17800000
657,22742636
658,27500000
659,10550000
660,6090582
661,2975000
662,5488996
663,3500000
664,4409034
665,570000
666,1080000
667,1080000
668,1050000
669,1050000
670,1050000
671,6600000
672,6500000
673,12590724
674,6000000
675,10216792
676,10028638
677,5000000
678,9842628
679,2250000
680,12371612
681,1225550
682,11441910
683,11032134
684,10966978
685,8912112
686,2000000
687,60000000
688,58750000
689,58500000
690,34500000
691,56250000
692,9000000
693,8000000
694,4000000
695,12000000
696,15877312
697,15782990
698,1755000
699,1755000
700,1755000
701,1755000
702,1671500
703,1080000
704,1050000
705,1050000
706,7193688
707,7142282
708,6686906
709,1600000
710,1250000
711,3700180
712,895000
713,4550000
714,4300000
715,6782618
716,2700000
717,4774972
718,4224568
719,1080000
720,1080000
721,1080000
722,1080000
723,1080000
724,2688632
725,2645252
726,2634256
727,2595572
728,645000
729,645000
730,19675154
731,18630868
732,18190990
733,4500000
734,13500000
735,8500000
736,7650000
737,3750000
738,18454286
739,18225204
740,14495228
741,3500000
742,6800000
743,3673180
744,895000
745,3550180
746,3476140
747,3261893
748,3235040
749,3202596
750,10000000
751,15000000
752,19675154
753,18630868
754,18190990
755,3525000
756,5750000
757,2295000
758,4540000
759,1030000
760,1020000
761,3731632
762,920000
763,895000
764,895000
765,1660000
766,15600000
767,20814716
768,85000000
769,9000000
770,8850000
771,8600000
772,11094856
773,11036032
774,85000000
775,4150000
776,2025000
777,2000000
778,1850000
779,1750000
780,1750000
781,7638928
782,7018128
783,3000000
784,5004300
785,4183234
786,1020000
787,3972364
788,895000
789,33750000
790,45000000
791,44500000
792,55000000
793,22000000
794,44000000
795,3750000
796,18454286
797,13741900
798,6800000
799,13540186
800,12850988
801,11641260
802,495000
803,3517312
804,870000
805,3403116
806,845000
807,3368704
808,3259940
809,2100000
810,1005000
811,3747840
812,895000
813,810000
814,3221516
815,805000
816,1080000
817,1080000
818,1050000
819,1050000
820,495000
821,645000
822,645000
823,2564792
824,2540680
825,1200000
826,1767500
827,12450000
828,4000000
829,12000000
830,12000000
831,15500000
832,15439098
833,14824238
834,6800000
835,13478172
836,6350000
837,12659544
838,3095000
839,3191396
840,3175663
841,3078360
842,760000
843,2948412
844,2900224
845,725000
846,4500000
847,9000000
848,13500000
849,8500000
850,12450000
851,4000000
852,12000000
853,4000000
854,4500000
855,1120000
856,1120000
857,1120000
858,1120000
859,5600000
860,4410000
861,1645000
862,3243364
863,805000
864,805000
865,3213428
866,3210872
867,13600276
868,16250000
869,12550000
870,14500000
871,11200000
872,11000000
873,61795295
874,43000000
875,42000000
876,50000000
877,50000000
878,24000000
879,22500000
880,5500000
881,10718546
882,10000000
883,9525345
884,2350000
885,2100000
886,2025000
887,67500000
888,54000000
889,61795295
890,23000000
891,44400000
892,43000000
893,42000000
894,75250000
895,6609640
896,1625000
897,6100516
898,6036312
899,1500000
900,5944506
901,1400000
902,3546268
903,3482180
904,3452043
905,3407364
